CELL_ID,MONTH,SPECIES,DOM_BEH
278,oct,bubalus_bubalis,5
279,sep,bos_taurus,5
279,oct,bos_taurus,3
279,nov,bos_taurus,1
279,dec,bos_taurus,1
279,sep,bubalus_bubalis,4
279,oct,bubalus_bubalis,3
279,nov,bubalus_bubalis,1
280,sep,bos_taurus,1
280,oct,bos_taurus,5
280,nov,bos_taurus,1
280,dec,bos_taurus,1
280,oct,bubalus_bubalis,5
280,nov,bubalus_bubalis,5
281,sep,bos_taurus,1
281,oct,bos_taurus,11
281,oct,bubalus_bubalis,5
282,sep,bos_taurus,1
282,oct,bos_taurus,1
283,sep,bos_taurus,1
283,oct,bos_taurus,1
301,sep,bos_taurus,1
301,sep,bubalus_bubalis,5
302,sep,bos_taurus,1
302,oct,bos_taurus,1
302,nov,bos_taurus,1
302,sep,bubalus_bubalis,4
303,sep,bos_taurus,1
303,oct,bos_taurus,5
304,sep,bos_taurus,5
304,oct,bos_taurus,5
304,nov,bos_taurus,1
304,oct,bubalus_bubalis,3
305,sep,bos_taurus,1
305,oct,bos_taurus,5
305,nov,bos_taurus,1
305,sep,bubalus_bubalis,4
305,oct,bubalus_bubalis,5
305,nov,bubalus_bubalis,1
306,sep,bos_taurus,5
306,oct,bos_taurus,3
306,nov,bos_taurus,1
306,sep,bubalus_bubalis,1
306,nov,bubalus_bubalis,4
307,sep,bos_taurus,1
307,oct,bos_taurus,1
307,dec,bos_taurus,1
307,sep,bubalus_bubalis,5
307,nov,bubalus_bubalis,1
308,sep,bos_taurus,1
308,oct,bos_taurus,5
308,nov,bubalus_bubalis,1
309,sep,bos_taurus,1
309,oct,bos_taurus,1
327,sep,bubalus_bubalis,1
328,sep,bos_taurus,1
328,oct,bos_taurus,1
328,nov,bos_taurus,1
328,sep,bubalus_bubalis,1
329,sep,bos_taurus,5
329,oct,bos_taurus,5
329,nov,bos_taurus,1
329,dec,bos_taurus,1
329,sep,bubalus_bubalis,3
330,sep,bos_taurus,1
330,oct,bos_taurus,1
330,sep,bubalus_bubalis,3
331,dec,bos_taurus,1
331,sep,bubalus_bubalis,5
331,oct,bubalus_bubalis,3
331,dec,bubalus_bubalis,5
332,oct,bos_taurus,1
332,dec,bos_taurus,1
332,sep,bubalus_bubalis,1
332,oct,bubalus_bubalis,5
332,nov,bubalus_bubalis,5
333,sep,bos_taurus,5
333,oct,bos_taurus,1
333,dec,bos_taurus,1
333,sep,bubalus_bubalis,1
333,oct,bubalus_bubalis,1
333,nov,bubalus_bubalis,1
334,sep,bos_taurus,1
334,oct,bos_taurus,1
334,sep,bubalus_bubalis,5
335,sep,bos_taurus,1
336,sep,bos_taurus,1
355,oct,bos_taurus,1
355,nov,bos_taurus,1
356,oct,bos_taurus,1
356,nov,bos_taurus,1
356,sep,bubalus_bubalis,1
357,dec,bos_taurus,1
358,dec,bos_taurus,1
358,sep,bubalus_bubalis,4
359,dec,bos_taurus,1
359,sep,bubalus_bubalis,1
359,dec,bubalus_bubalis,5
360,sep,bos_taurus,1
360,dec,bos_taurus,1
360,sep,bubalus_bubalis,5
361,sep,bos_taurus,1
361,sep,bubalus_bubalis,5
361,oct,bubalus_bubalis,3
362,sep,bos_taurus,3
362,oct,bubalus_bubalis,3
363,sep,bos_taurus,1
363,dec,bubalus_bubalis,1
364,dec,bubalus_bubalis,1
383,oct,bos_taurus,1
383,nov,bos_taurus,1
383,sep,bubalus_bubalis,1
387,sep,bubalus_bubalis,5
388,sep,bubalus_bubalis,1
389,oct,bubalus_bubalis,1
390,dec,bos_taurus,1
390,oct,bubalus_bubalis,4
390,dec,bubalus_bubalis,1
391,dec,bubalus_bubalis,1
416,oct,bos_taurus,1
416,oct,bubalus_bubalis,1
417,oct,bos_taurus,3
417,dec,bos_taurus,1
417,dec,bubalus_bubalis,5
418,nov,bos_taurus,1
418,dec,bos_taurus,1
418,dec,bubalus_bubalis,1
441,dec,bubalus_bubalis,3
443,sep,bos_taurus,1
443,oct,bos_taurus,3
443,nov,bos_taurus,1
443,dec,bos_taurus,1
444,oct,bos_taurus,1
444,nov,bos_taurus,1
444,dec,bos_taurus,1
444,oct,bubalus_bubalis,1
445,nov,bos_taurus,1
445,dec,bos_taurus,1
468,dec,bubalus_bubalis,5
469,dec,bubalus_bubalis,3
470,sep,bos_taurus,1
470,oct,bos_taurus,3
470,nov,bos_taurus,1
470,dec,bos_taurus,1
470,oct,bubalus_bubalis,1
471,sep,bos_taurus,5
471,oct,bos_taurus,1
471,nov,bos_taurus,1
471,dec,bos_taurus,1
471,sep,bubalus_bubalis,5
471,oct,bubalus_bubalis,3
472,nov,bos_taurus,1
472,dec,bos_taurus,1
472,sep,bubalus_bubalis,1
472,oct,bubalus_bubalis,4
494,dec,bubalus_bubalis,1
495,dec,bubalus_bubalis,2
496,dec,bos_taurus,3
497,sep,bos_taurus,1
497,oct,bubalus_bubalis,1
498,nov,bos_taurus,1
498,dec,bos_taurus,5
498,oct,bubalus_bubalis,1
499,nov,bos_taurus,1
499,dec,bos_taurus,1
499,sep,bubalus_bubalis,1
499,oct,bubalus_bubalis,1
500,nov,bos_taurus,4
524,nov,bos_taurus,5
525,nov,bos_taurus,5
526,nov,bos_taurus,1
527,nov,bos_taurus,1
551,nov,bos_taurus,1
552,nov,bos_taurus,1
553,nov,bos_taurus,1
554,nov,bos_taurus,1
555,nov,bos_taurus,1
578,nov,bos_taurus,1
579,nov,bos_taurus,1
580,nov,bos_taurus,1
581,nov,bos_taurus,1
582,nov,bos_taurus,1
607,nov,bos_taurus,1
608,nov,bos_taurus,1
