CELL_ID,PATH_ID,PATH_DIST,CELL_TWI,NDVI_SEP,NDVI_OCT,NDVI_NOV,NDVI_DEC
410,4,79.23,6.3067,0.6957,0.2906,0.4038,0.2419
411,4,73.37,6.3207,0.6751,0.3123,0.4380,0.2780
412,4,67.74,5.9955,0.6815,0.3097,0.4219,0.2609
413,3,61.99,5.8682,0.6750,0.3320,0.4215,0.2640
414,3,56.01,6.3190,0.6594,0.3933,0.4586,0.2833
415,3,52.31,5.6494,0.6442,0.4144,0.4813,0.3005
416,3,77.50,6.4753,0.6688,0.4241,0.5121,0.3366
417,3,119.49,5.9581,0.6170,0.3950,0.4700,0.3176
418,3,165.97,6.3078,0.5813,0.3576,0.4310,0.2914
419,3,196.99,5.2070,0.6097,0.3810,0.4528,0.2965
433,4,32.51,4.9585,0.6382,0.4531,0.4538,0.2306
434,4,42.68,5.5306,0.6753,0.3771,0.4837,0.2631
435,4,40.75,5.2851,0.6807,0.3443,0.4929,0.3021
436,4,35.20,6.2810,0.6969,0.3268,0.4672,0.2825
437,4,29.57,6.3289,0.7025,0.3372,0.4750,0.3041
438,4,23.70,5.7079,0.6784,0.3356,0.4740,0.3288
439,4,19.42,5.7868,0.6595,0.3305,0.5048,0.3403
440,3,20.40,5.5337,0.6525,0.3110,0.4844,0.3237
441,3,16.68,6.0095,0.6366,0.3635,0.4587,0.2763
442,3,14.07,4.9417,0.6756,0.3946,0.4882,0.3024
443,3,57.73,6.2517,0.6787,0.4328,0.5125,0.3350
444,3,107.72,5.6949,0.6070,0.4125,0.5194,0.3467
445,3,157.71,6.0063,0.6059,0.3973,0.4915,0.3336
446,3,191.92,4.9090,0.6237,0.3935,0.4689,0.3126
459,4,13.30,4.2342,0.5201,0.3886,0.3559,0.1914
460,4,13.38,4.4879,0.5943,0.4852,0.4597,0.2894
461,4,3.06,5.8460,0.6130,0.4222,0.4963,0.3174
462,4,8.91,5.1768,0.6226,0.3482,0.4860,0.3357
463,4,14.51,4.7899,0.6190,0.3399,0.5038,0.3497
464,4,20.08,5.1027,0.6216,0.3125,0.5012,0.3426
465,4,25.95,4.7157,0.6083,0.3060,0.4816,0.3448
466,4,31.62,5.0584,0.6000,0.2893,0.4720,0.3356
467,3,37.31,4.7429,0.6027,0.2967,0.4648,0.3105
468,3,43.28,4.9060,0.6767,0.3171,0.4756,0.3042
469,3,53.00,7.2351,0.7089,0.2904,0.4187,0.2468
470,3,75.22,6.0209,0.6825,0.3969,0.5066,0.3174
471,3,118.02,5.1634,0.6211,0.3858,0.4934,0.3200
472,3,164.92,5.8725,0.6467,0.4129,0.5155,0.3490
473,3,197.79,4.1063,0.6439,0.4190,0.4748,0.2691
486,4,29.21,3.4698,0.4572,0.3872,0.3674,0.2540
487,4,37.13,4.6305,0.5824,0.4636,0.4549,0.2878
488,4,51.82,6.8116,0.6078,0.4059,0.4778,0.3198
489,4,58.56,5.3265,0.5712,0.3471,0.4644,0.3007
490,4,64.22,5.0333,0.6207,0.3201,0.5014,0.3206
