CELL_ID,SPECIES,MONTH,COUNT
353,bubalus_bubalis,oct,0
354,bubalus_bubalis,oct,0
355,bubalus_bubalis,oct,0
356,bubalus_bubalis,oct,0
357,bubalus_bubalis,oct,0
358,bubalus_bubalis,oct,0
359,bubalus_bubalis,oct,0
360,bubalus_bubalis,oct,0
361,bubalus_bubalis,oct,1
362,bubalus_bubalis,oct,4
363,bubalus_bubalis,oct,0
364,bubalus_bubalis,oct,0
365,bubalus_bubalis,oct,0
380,bubalus_bubalis,oct,0
381,bubalus_bubalis,oct,0
382,bubalus_bubalis,oct,0
383,bubalus_bubalis,oct,0
384,bubalus_bubalis,oct,0
385,bubalus_bubalis,oct,0
386,bubalus_bubalis,oct,0
387,bubalus_bubalis,oct,0
388,bubalus_bubalis,oct,0
389,bubalus_bubalis,oct,8
390,bubalus_bubalis,oct,1
391,bubalus_bubalis,oct,0
392,bubalus_bubalis,oct,0
407,bubalus_bubalis,oct,0
408,bubalus_bubalis,oct,0
409,bubalus_bubalis,oct,0
410,bubalus_bubalis,oct,0
411,bubalus_bubalis,oct,0
412,bubalus_bubalis,oct,0
413,bubalus_bubalis,oct,0
414,bubalus_bubalis,oct,0
415,bubalus_bubalis,oct,0
416,bubalus_bubalis,oct,4
417,bubalus_bubalis,oct,0
418,bubalus_bubalis,oct,0
419,bubalus_bubalis,oct,0
433,bubalus_bubalis,oct,0
434,bubalus_bubalis,oct,0
435,bubalus_bubalis,oct,0
436,bubalus_bubalis,oct,0
437,bubalus_bubalis,oct,0
438,bubalus_bubalis,oct,0
439,bubalus_bubalis,oct,0
440,bubalus_bubalis,oct,0
441,bubalus_bubalis,oct,0
442,bubalus_bubalis,oct,0
443,bubalus_bubalis,oct,0
444,bubalus_bubalis,oct,3
445,bubalus_bubalis,oct,0
446,bubalus_bubalis,oct,0
459,bubalus_bubalis,oct,0
460,bubalus_bubalis,oct,0
461,bubalus_bubalis,oct,0
462,bubalus_bubalis,oct,0
463,bubalus_bubalis,oct,0
464,bubalus_bubalis,oct,0
465,bubalus_bubalis,oct,0
466,bubalus_bubalis,oct,0
467,bubalus_bubalis,oct,0
468,bubalus_bubalis,oct,0
469,bubalus_bubalis,oct,0
